640
0, (0, 1, 16, 17)
1, (0, 1, 17, 23)
2, (0, 2, 15, 17)
3, (0, 2, 16, 23)
4, (0, 2, 17, 19)
5, (0, 2, 17, 22)
6, (0, 3, 14, 17)
7, (0, 3, 15, 16)
8, (0, 3, 15, 23)
9, (0, 3, 16, 19)
10, (0, 3, 16, 22)
11, (0, 3, 17, 18)
12, (0, 3, 17, 21)
13, (0, 3, 19, 23)
14, (0, 3, 22, 23)
15, (0, 4, 13, 17)
16, (0, 4, 14, 16)
17, (0, 4, 14, 23)
18, (0, 4, 15, 19)
19, (0, 4, 15, 22)
20, (0, 4, 16, 18)
21, (0, 4, 16, 21)
22, (0, 4, 17, 20)
23, (0, 4, 18, 23)
24, (0, 4, 19, 22)
25, (0, 4, 21, 23)
26, (0, 5, 12, 17)
27, (0, 5, 13, 16)
28, (0, 5, 13, 23)
29, (0, 5, 14, 15)
30, (0, 5, 14, 19)
31, (0, 5, 14, 22)
32, (0, 5, 15, 18)
33, (0, 5, 15, 21)
34, (0, 5, 16, 20)
35, (0, 5, 18, 19)
36, (0, 5, 18, 22)
37, (0, 5, 19, 21)
38, (0, 5, 20, 23)
39, (0, 5, 21, 22)
40, (0, 6, 15, 17)
41, (0, 6, 16, 23)
42, (0, 6, 17, 19)
43, (0, 6, 17, 22)
44, (0, 7, 14, 17)
45, (0, 7, 15, 16)
46, (0, 7, 15, 23)
47, (0, 7, 16, 19)
48, (0, 7, 16, 22)
49, (0, 7, 17, 18)
50, (0, 7, 17, 21)
51, (0, 7, 19, 23)
52, (0, 7, 22, 23)
53, (0, 8, 16, 17)
54, (0, 8, 17, 23)
55, (0, 9, 15, 17)
56, (0, 9, 16, 23)
57, (0, 9, 17, 19)
58, (0, 9, 17, 22)
59, (0, 10, 14, 17)
60, (0, 10, 15, 16)
61, (0, 10, 15, 23)
62, (0, 10, 16, 19)
63, (0, 10, 16, 22)
64, (0, 10, 17, 18)
65, (0, 10, 17, 21)
66, (0, 10, 19, 23)
67, (0, 10, 22, 23)
